,Topic,time,text_language,job_type,external_url,phone_contact,delta_salary
2172,3.0,2020,pl,C Manufacturing,no,yes,-14.0
2173,0.0,2020,pl,C Manufacturing,no,yes,-13.020000000000001
2174,0.0,2020,pl,F Construction,no,yes,-12.7
2175,3.0,2020,pl,C Manufacturing,no,yes,-14.0
2176,0.0,2020,pl,C Manufacturing,no,yes,-14.3
2177,0.0,2020,pl,H Transportation and storage,no,yes,-11.850000000000001
2178,0.0,2020,pl,G Wholesale and retail trade,no,yes,-8.57
2179,0.0,2020,pl,H Transportation and storage,no,yes,-11.250000000000002
2180,0.0,2020,pl,G Wholesale and retail trade,no,yes,-7.520000000000001
2181,0.0,2020,pl,F Construction,no,yes,-13.2
2182,0.0,2020,pl,C Manufacturing,no,yes,-14.3
2183,3.0,2020,pl,C Manufacturing,no,yes,-14.0
2184,0.0,2020,pl,H Transportation and storage,no,yes,-11.850000000000001
2185,0.0,2020,pl,M Other specialised business services,no,yes,-19.020000000000003
2186,5.0,2020,pl,F Construction,no,yes,-13.2
2187,0.0,2020,pl,G Wholesale and retail trade,no,yes,-8.580000000000002
2188,0.0,2020,pl,F Construction,no,yes,-13.43
2189,0.0,2020,pl,M Other specialised business services,no,yes,-15.46
2190,0.0,2020,pl,C Manufacturing,no,yes,31.7
2191,0.0,2020,pl,C Manufacturing,no,yes,31.7
2192,0.0,2020,pl,F Construction,no,yes,-12.28
2193,0.0,2020,pl,H Transportation and storage,no,yes,-11.850000000000001
2194,0.0,2020,pl,C Manufacturing,no,yes,-12.88
2195,0.0,2020,pl,C Manufacturing,no,yes,-14.690000000000001
2196,0.0,2020,pl,C Manufacturing,no,yes,-13.700000000000001
2197,0.0,2020,pl,C Manufacturing,no,yes,31.7
2198,0.0,2020,pl,C Manufacturing,no,yes,-14.8
2199,3.0,2020,pl,C Manufacturing,no,yes,-14.0
2200,0.0,2020,pl,,no,yes,14.0
2201,0.0,2020,pl,C Manufacturing,no,yes,-14.3
2202,0.0,2020,pl,F Construction,no,yes,-12.2
2203,0.0,2020,pl,H Transportation and storage,no,yes,-11.850000000000001
2204,0.0,2020,pl,C Manufacturing,no,yes,-13.8
2205,0.0,2020,pl,G Wholesale and retail trade,no,yes,-8.870000000000001
2206,0.0,2020,pl,C Manufacturing,no,yes,-14.3
2207,0.0,2020,pl,C Manufacturing,no,yes,-12.88
2208,0.0,2020,pl,H Transportation and storage,no,yes,-8.850000000000001
2209,0.0,2020,pl,C Manufacturing,no,yes,-14.3
2210,1.0,2020,pl,H Transportation and storage,no,yes,-9.97
2211,0.0,2020,pl,F Construction,no,yes,-12.7
2212,0.0,2020,pl,C Manufacturing,no,yes,-11.860000000000001
2213,0.0,2020,pl,F Construction,no,yes,4.300000000000001
2214,0.0,2020,pl,F Construction,no,yes,-11.61
2215,0.0,2020,pl,C Manufacturing,no,yes,-14.3
2216,4.0,2020,pl,H Transportation and storage,no,yes,-12.350000000000001
2217,0.0,2020,pl,C Manufacturing,no,yes,-13.8
2218,5.0,2020,pl,M Other specialised business services,no,yes,-15.46
2219,0.0,2020,pl,C Manufacturing,no,yes,-12.3
